team,name,start,end,band,freq
Nuggets,Nuggets at Raptors,2016-10-04 01:00:00+00:00,2016-10-04 03:30:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2016-10-08 02:30:00+00:00,2016-10-08 05:00:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2016-10-10 01:30:00+00:00,2016-10-10 04:00:00+00:00,AM,950
Nuggets,Nuggets at Timberwolves,2016-10-13 00:00:00+00:00,2016-10-13 02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Warriors,2016-10-15 01:00:00+00:00,2016-10-15 03:30:00+00:00,AM,950
Nuggets,Nuggets at Trail Blazers,2016-10-17 01:00:00+00:00,2016-10-17 03:30:00+00:00,AM,950
Nuggets,Nuggets at Thunder,2016-10-19 00:00:00+00:00,2016-10-19 02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Mavericks,2016-10-22 01:00:00+00:00,2016-10-22 03:30:00+00:00,AM,950
Nuggets,Nuggets at Pelicans,2016-10-27 00:00:00+00:00,2016-10-27 02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Trail Blazers,2016-10-30 01:00:00+00:00,2016-10-30 03:30:00+00:00,AM,950
Nuggets,Nuggets at Raptors,2016-10-31 23:30:00+00:00,2016-11-01 02:00:00+00:00,AM,950
Nuggets,Nuggets at Timberwolves,2016-11-04 00:00:00+00:00,2016-11-04 02:30:00+00:00,AM,950
Nuggets,Nuggets at Pistons,2016-11-05 23:00:00+00:00,2016-11-06 01:30:00+00:00,AM,950
Nuggets,Nuggets at Celtics,2016-11-07 00:30:00+00:00,2016-11-07 03:00:00+00:00,AM,950
Nuggets,Nuggets at Grizzlies,2016-11-09 01:00:00+00:00,2016-11-09 03:30:00+00:00,AM,950
Nuggets,Nuggets vs. Warriors,2016-11-11 02:00:00+00:00,2016-11-11 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Pistons,2016-11-13 02:00:00+00:00,2016-11-13 04:30:00+00:00,AM,950
Nuggets,Nuggets at Trail Blazers,2016-11-14 02:00:00+00:00,2016-11-14 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Suns,2016-11-17 02:00:00+00:00,2016-11-17 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Raptors,2016-11-19 02:00:00+00:00,2016-11-19 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Jazz,2016-11-21 02:00:00+00:00,2016-11-21 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Bulls,2016-11-23 02:00:00+00:00,2016-11-23 04:30:00+00:00,AM,950
Nuggets,Nuggets at Jazz,2016-11-24 02:00:00+00:00,2016-11-24 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Thunder,2016-11-26 02:00:00+00:00,2016-11-26 04:30:00+00:00,AM,950
Nuggets,Nuggets at Suns,2016-11-27 20:30:00+00:00,2016-11-27 23:00:00+00:00,AM,950
Nuggets,Nuggets vs. Heat,2016-12-01 02:00:00+00:00,2016-12-01 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Rockets,2016-12-03 03:30:00+00:00,2016-12-03 06:00:00+00:00,AM,950
Nuggets,Nuggets at Jazz,2016-12-04 02:00:00+00:00,2016-12-04 04:30:00+00:00,AM,950
Nuggets,Nuggets at 76ers,2016-12-06 00:00:00+00:00,2016-12-06 02:30:00+00:00,AM,950
Nuggets,Nuggets at Nets,2016-12-08 00:30:00+00:00,2016-12-08 03:00:00+00:00,AM,950
Nuggets,Nuggets at Wizards,2016-12-09 00:00:00+00:00,2016-12-09 02:30:00+00:00,AM,950
Nuggets,Nuggets at Magic,2016-12-11 00:00:00+00:00,2016-12-11 02:30:00+00:00,AM,950
Nuggets,Nuggets at Mavericks,2016-12-13 01:30:00+00:00,2016-12-13 04:00:00+00:00,AM,950
Nuggets,Nuggets vs. Trail Blazers,2016-12-16 02:00:00+00:00,2016-12-16 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Knicks,2016-12-18 02:00:00+00:00,2016-12-18 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Mavericks,2016-12-20 02:00:00+00:00,2016-12-20 04:30:00+00:00,AM,950
Nuggets,Nuggets at Clippers,2016-12-21 03:30:00+00:00,2016-12-21 06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Hawks,2016-12-24 02:00:00+00:00,2016-12-24 04:30:00+00:00,AM,950
Nuggets,Nuggets at Clippers,2016-12-27 03:30:00+00:00,2016-12-27 06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Timberwolves,2016-12-29 02:00:00+00:00,2016-12-29 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. 76ers,2016-12-31 02:00:00+00:00,2016-12-31 04:30:00+00:00,AM,950
Nuggets,Nuggets at Warriors,2017-01-03 03:30:00+00:00,2017-01-03 06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Kings,2017-01-04 02:00:00+00:00,2017-01-04 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Spurs,2017-01-06 02:00:00+00:00,2017-01-06 04:30:00+00:00,AM,950
Nuggets,Nuggets at Thunder,2017-01-08 01:00:00+00:00,2017-01-08 03:30:00+00:00,AM,950
Nuggets,Nuggets vs. Pacers,2017-01-12 20:00:00+00:00,2017-01-12 22:30:00+00:00,AM,950
Nuggets,Nuggets vs. Magic,2017-01-16 22:00:00+00:00,2017-01-17 00:30:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2017-01-18 03:30:00+00:00,2017-01-18 06:00:00+00:00,AM,950
Nuggets,Nuggets at Spurs,2017-01-20 01:30:00+00:00,2017-01-20 04:00:00+00:00,AM,950
