team,name,start,end,band,freq
Nuggets,Nuggets at Raptors,2016-10-04T01:00:00+00:00,2016-10-04T03:30:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2016-10-08T02:30:00+00:00,2016-10-08T05:00:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2016-10-10T01:30:00+00:00,2016-10-10T04:00:00+00:00,AM,950
Nuggets,Nuggets at Timberwolves,2016-10-13T00:00:00+00:00,2016-10-13T02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Warriors,2016-10-15T01:00:00+00:00,2016-10-15T03:30:00+00:00,AM,950
Nuggets,Nuggets at Trail Blazers,2016-10-17T01:00:00+00:00,2016-10-17T03:30:00+00:00,AM,950
Nuggets,Nuggets at Thunder,2016-10-19T00:00:00+00:00,2016-10-19T02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Mavericks,2016-10-22T01:00:00+00:00,2016-10-22T03:30:00+00:00,AM,950
Nuggets,Nuggets at Pelicans,2016-10-27T00:00:00+00:00,2016-10-27T02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Trail Blazers,2016-10-30T01:00:00+00:00,2016-10-30T03:30:00+00:00,AM,950
Nuggets,Nuggets at Raptors,2016-10-31T23:30:00+00:00,2016-11-01T02:00:00+00:00,AM,950
Nuggets,Nuggets at Timberwolves,2016-11-04T00:00:00+00:00,2016-11-04T02:30:00+00:00,AM,950
Nuggets,Nuggets at Pistons,2016-11-05T23:00:00+00:00,2016-11-06T01:30:00+00:00,AM,950
Nuggets,Nuggets at Celtics,2016-11-07T00:30:00+00:00,2016-11-07T03:00:00+00:00,AM,950
Nuggets,Nuggets at Grizzlies,2016-11-09T01:00:00+00:00,2016-11-09T03:30:00+00:00,AM,950
Nuggets,Nuggets vs. Warriors,2016-11-11T02:00:00+00:00,2016-11-11T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Pistons,2016-11-13T02:00:00+00:00,2016-11-13T04:30:00+00:00,AM,950
Nuggets,Nuggets at Trail Blazers,2016-11-14T02:00:00+00:00,2016-11-14T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Suns,2016-11-17T02:00:00+00:00,2016-11-17T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Raptors,2016-11-19T02:00:00+00:00,2016-11-19T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Jazz,2016-11-21T02:00:00+00:00,2016-11-21T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Bulls,2016-11-23T02:00:00+00:00,2016-11-23T04:30:00+00:00,AM,950
Nuggets,Nuggets at Jazz,2016-11-24T02:00:00+00:00,2016-11-24T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Thunder,2016-11-26T02:00:00+00:00,2016-11-26T04:30:00+00:00,AM,950
Nuggets,Nuggets at Suns,2016-11-27T20:30:00+00:00,2016-11-27T23:00:00+00:00,AM,950
Nuggets,Nuggets vs. Heat,2016-12-01T02:00:00+00:00,2016-12-01T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Rockets,2016-12-03T03:30:00+00:00,2016-12-03T06:00:00+00:00,AM,950
Nuggets,Nuggets at Jazz,2016-12-04T02:00:00+00:00,2016-12-04T04:30:00+00:00,AM,950
Nuggets,Nuggets at 76ers,2016-12-06T00:00:00+00:00,2016-12-06T02:30:00+00:00,AM,950
Nuggets,Nuggets at Nets,2016-12-08T00:30:00+00:00,2016-12-08T03:00:00+00:00,AM,950
Nuggets,Nuggets at Wizards,2016-12-09T00:00:00+00:00,2016-12-09T02:30:00+00:00,AM,950
Nuggets,Nuggets at Magic,2016-12-11T00:00:00+00:00,2016-12-11T02:30:00+00:00,AM,950
Nuggets,Nuggets at Mavericks,2016-12-13T01:30:00+00:00,2016-12-13T04:00:00+00:00,AM,950
Nuggets,Nuggets vs. Trail Blazers,2016-12-16T02:00:00+00:00,2016-12-16T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Knicks,2016-12-18T02:00:00+00:00,2016-12-18T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Mavericks,2016-12-20T02:00:00+00:00,2016-12-20T04:30:00+00:00,AM,950
Nuggets,Nuggets at Clippers,2016-12-21T03:30:00+00:00,2016-12-21T06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Hawks,2016-12-24T02:00:00+00:00,2016-12-24T04:30:00+00:00,AM,950
Nuggets,Nuggets at Clippers,2016-12-27T03:30:00+00:00,2016-12-27T06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Timberwolves,2016-12-29T02:00:00+00:00,2016-12-29T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. 76ers,2016-12-31T02:00:00+00:00,2016-12-31T04:30:00+00:00,AM,950
Nuggets,Nuggets at Warriors,2017-01-03T03:30:00+00:00,2017-01-03T06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Kings,2017-01-04T02:00:00+00:00,2017-01-04T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Spurs,2017-01-06T02:00:00+00:00,2017-01-06T04:30:00+00:00,AM,950
Nuggets,Nuggets at Thunder,2017-01-08T01:00:00+00:00,2017-01-08T03:30:00+00:00,AM,950
Nuggets,Nuggets vs. Pacers,2017-01-12T20:00:00+00:00,2017-01-12T22:30:00+00:00,AM,950
Nuggets,Nuggets vs. Magic,2017-01-16T22:00:00+00:00,2017-01-17T00:30:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2017-01-18T03:30:00+00:00,2017-01-18T06:00:00+00:00,AM,950
Nuggets,Nuggets at Spurs,2017-01-20T01:30:00+00:00,2017-01-20T04:00:00+00:00,AM,950
Nuggets,Nuggets vs. Clippers,2017-01-22T02:00:00+00:00,2017-01-22T04:30:00+00:00,AM,950
Nuggets,Nuggets at Timberwolves,2017-01-23T00:00:00+00:00,2017-01-23T02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Jazz,2017-01-25T02:00:00+00:00,2017-01-25T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Suns,2017-01-27T02:00:00+00:00,2017-01-27T04:30:00+00:00,AM,950
Nuggets,Nuggets at Suns,2017-01-29T02:00:00+00:00,2017-01-29T04:30:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2017-02-01T03:30:00+00:00,2017-02-01T06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Grizzlies,2017-02-02T02:00:00+00:00,2017-02-02T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Bucks,2017-02-04T02:00:00+00:00,2017-02-04T04:30:00+00:00,AM,950
Nuggets,Nuggets at Spurs,2017-02-05T02:00:00+00:00,2017-02-05T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Mavericks,2017-02-07T02:00:00+00:00,2017-02-07T04:30:00+00:00,AM,950
Nuggets,Nuggets at Hawks,2017-02-09T00:30:00+00:00,2017-02-09T03:00:00+00:00,AM,950
Nuggets,Nuggets at Knicks,2017-02-11T00:30:00+00:00,2017-02-11T03:00:00+00:00,AM,950
Nuggets,Nuggets at Cavaliers,2017-02-12T00:30:00+00:00,2017-02-12T03:00:00+00:00,AM,950
Nuggets,Nuggets vs. Warriors,2017-02-14T02:00:00+00:00,2017-02-14T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Timberwolves,2017-02-16T02:00:00+00:00,2017-02-16T04:30:00+00:00,AM,950
Nuggets,66th NBA All-Star Game,2017-02-20T01:00:00+00:00,2017-02-20T04:00:00+00:00,AM,950
Nuggets,Nuggets at Kings,2017-02-24T03:30:00+00:00,2017-02-24T06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Nets,2017-02-25T02:00:00+00:00,2017-02-25T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Grizzlies,2017-02-26T22:00:00+00:00,2017-02-27T00:30:00+00:00,AM,950
Nuggets,Nuggets at Bulls,2017-03-01T01:00:00+00:00,2017-03-01T03:30:00+00:00,AM,950
Nuggets,Nuggets at Bucks,2017-03-02T01:00:00+00:00,2017-03-02T03:30:00+00:00,AM,950
Nuggets,Nuggets vs. Hornets,2017-03-05T02:00:00+00:00,2017-03-05T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Kings,2017-03-07T02:00:00+00:00,2017-03-07T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Wizards,2017-03-09T02:00:00+00:00,2017-03-09T04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Celtics,2017-03-11T02:00:00+00:00,2017-03-11T04:30:00+00:00,AM,950
Nuggets,Nuggets at Kings,2017-03-12T03:30:00+00:00,2017-03-12T06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Lakers,2017-03-14T02:30:00+00:00,2017-03-14T05:00:00+00:00,AM,950
Nuggets,Nuggets vs. Clippers,2017-03-17T01:00:00+00:00,2017-03-17T03:30:00+00:00,AM,950
Nuggets,Nuggets vs. Rockets,2017-03-19T01:30:00+00:00,2017-03-19T04:00:00+00:00,AM,950
Nuggets,Nuggets at Rockets,2017-03-21T00:00:00+00:00,2017-03-21T02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Cavaliers,2017-03-23T01:00:00+00:00,2017-03-23T03:30:00+00:00,AM,950
Nuggets,Nuggets at Pacers,2017-03-24T23:00:00+00:00,2017-03-25T01:30:00+00:00,AM,950
Nuggets,Nuggets vs. Pelicans,2017-03-27T00:00:00+00:00,2017-03-27T02:30:00+00:00,AM,950
Nuggets,Nuggets at Trail Blazers,2017-03-29T02:00:00+00:00,2017-03-29T04:30:00+00:00,AM,950
Nuggets,Nuggets at Hornets,2017-03-31T23:00:00+00:00,2017-04-01T01:30:00+00:00,AM,950
Nuggets,Nuggets at Heat,2017-04-02T22:00:00+00:00,2017-04-03T00:30:00+00:00,AM,950
Nuggets,Nuggets at Pelicans,2017-04-05T00:00:00+00:00,2017-04-05T02:30:00+00:00,AM,950
Nuggets,Nuggets at Rockets,2017-04-06T00:00:00+00:00,2017-04-06T02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Pelicans,2017-04-08T01:00:00+00:00,2017-04-08T03:30:00+00:00,AM,950
Nuggets,Nuggets vs. Thunder,2017-04-09T21:00:00+00:00,2017-04-09T23:30:00+00:00,AM,950
Nuggets,Nuggets at Mavericks,2017-04-12T00:30:00+00:00,2017-04-12T03:00:00+00:00,AM,950
Nuggets,Nuggets at Thunder,2017-04-13T00:00:00+00:00,2017-04-13T02:30:00+00:00,AM,950
