START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/17,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",02/25/17,02/25/17,04:10 PM,06:10 PM,FALSE,TRUE,02/25/17,12:10 PM,02:10 PM,FREE,BUSY
02/26/17,01:05 PM,03:05 PM,Rockies at White Sox,Camelback Ranch - Glendale,"",02/26/17,02/26/17,04:05 PM,06:05 PM,FALSE,TRUE,02/26/17,12:05 PM,02:05 PM,FREE,BUSY
02/26/17,01:10 PM,03:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",02/26/17,02/26/17,04:10 PM,06:10 PM,FALSE,TRUE,02/26/17,12:10 PM,02:10 PM,FREE,BUSY
02/27/17,01:05 PM,03:05 PM,Rockies at Dodgers,Camelback Ranch - Glendale,"",02/27/17,02/27/17,04:05 PM,06:05 PM,FALSE,TRUE,02/27/17,12:05 PM,02:05 PM,FREE,BUSY
02/28/17,01:10 PM,03:10 PM,Dodgers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",02/28/17,02/28/17,04:10 PM,06:10 PM,FALSE,TRUE,02/28/17,12:10 PM,02:10 PM,FREE,BUSY
03/01/17,01:10 PM,03:10 PM,Padres at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/01/17,03/01/17,04:10 PM,06:10 PM,FALSE,TRUE,03/01/17,12:10 PM,02:10 PM,FREE,BUSY
03/02/17,01:05 PM,03:05 PM,Rockies at Royals,Surprise Stadium - Surprise,"",03/02/17,03/02/17,04:05 PM,06:05 PM,FALSE,TRUE,03/02/17,12:05 PM,02:05 PM,FREE,BUSY
03/03/17,01:05 PM,03:05 PM,Rockies at Indians,Goodyear Ballpark - Goodyear,"",03/03/17,03/03/17,04:05 PM,06:05 PM,FALSE,TRUE,03/03/17,12:05 PM,02:05 PM,FREE,BUSY
03/04/17,01:10 PM,03:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/04/17,03/04/17,04:10 PM,06:10 PM,FALSE,TRUE,03/04/17,12:10 PM,02:10 PM,FREE,BUSY
03/05/17,01:05 PM,03:05 PM,Rockies at Brewers,Maryvale Baseball Park - Phoenix,"",03/05/17,03/05/17,04:05 PM,06:05 PM,FALSE,TRUE,03/05/17,12:05 PM,02:05 PM,FREE,BUSY
03/06/17,01:10 PM,03:10 PM,Dodgers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/06/17,03/06/17,04:10 PM,06:10 PM,FALSE,TRUE,03/06/17,12:10 PM,02:10 PM,FREE,BUSY
03/07/17,01:05 PM,03:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"",03/07/17,03/07/17,04:05 PM,06:05 PM,FALSE,TRUE,03/07/17,12:05 PM,02:05 PM,FREE,BUSY
03/09/17,01:10 PM,03:10 PM,Puerto Rico at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/09/17,03/09/17,04:10 PM,06:10 PM,FALSE,TRUE,03/09/17,12:10 PM,02:10 PM,FREE,BUSY
03/10/17,06:05 PM,08:05 PM,Rockies at Reds,Goodyear Ballpark - Goodyear,"",03/10/17,03/10/17,09:05 PM,11:05 PM,FALSE,TRUE,03/10/17,05:05 PM,07:05 PM,FREE,BUSY
03/11/17,01:05 PM,03:05 PM,Rockies at Cubs,Sloan Park - Mesa,"",03/11/17,03/11/17,04:05 PM,06:05 PM,FALSE,TRUE,03/11/17,12:05 PM,02:05 PM,FREE,BUSY
03/12/17,02:10 PM,04:10 PM,Reds at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/12/17,03/12/17,05:10 PM,07:10 PM,FALSE,TRUE,03/12/17,01:10 PM,03:10 PM,FREE,BUSY
03/13/17,02:10 PM,04:10 PM,Royals at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/13/17,03/13/17,05:10 PM,07:10 PM,FALSE,TRUE,03/13/17,01:10 PM,03:10 PM,FREE,BUSY
03/14/17,02:05 PM,04:05 PM,Rockies at Athletics,Hohokam Stadium - Mesa,"",03/14/17,03/14/17,05:05 PM,07:05 PM,FALSE,TRUE,03/14/17,01:05 PM,03:05 PM,FREE,BUSY
03/15/17,02:10 PM,04:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/15/17,03/15/17,05:10 PM,07:10 PM,FALSE,TRUE,03/15/17,01:10 PM,03:10 PM,FREE,BUSY
03/16/17,02:10 PM,04:10 PM,Angels at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/16/17,03/16/17,05:10 PM,07:10 PM,FALSE,TRUE,03/16/17,01:10 PM,03:10 PM,FREE,BUSY
03/17/17,07:05 PM,09:05 PM,Rockies at Giants,Scottsdale Stadium - Scottsdale,"",03/17/17,03/18/17,10:05 PM,12:05 AM,FALSE,TRUE,03/17/17,06:05 PM,08:05 PM,FREE,BUSY
03/18/17,02:10 PM,04:10 PM,Rockies at Angels,Tempe Diablo Stadium - Tempe,"",03/18/17,03/18/17,05:10 PM,07:10 PM,FALSE,TRUE,03/18/17,01:10 PM,03:10 PM,FREE,BUSY
03/19/17,02:10 PM,04:10 PM,Athletics at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/19/17,03/19/17,05:10 PM,07:10 PM,FALSE,TRUE,03/19/17,01:10 PM,03:10 PM,FREE,BUSY
03/20/17,02:10 PM,04:10 PM,Cubs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/20/17,03/20/17,05:10 PM,07:10 PM,FALSE,TRUE,03/20/17,01:10 PM,03:10 PM,FREE,BUSY
03/22/17,02:10 PM,04:10 PM,Indians at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/22/17,03/22/17,05:10 PM,07:10 PM,FALSE,TRUE,03/22/17,01:10 PM,03:10 PM,FREE,BUSY
